file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,193,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,194,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,18
style.css,195,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,15
style.css,196,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,197,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,198,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,19
style.css,199,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,200,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,18
style.css,201,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,202,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,203,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,32
style.css,204,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,14
style.css,205,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,11
style.css,206,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,12
style.css,207,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,17
style.css,208,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,209,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,210,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,211,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,212,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,40
style.css,213,css,b962be00,abhi-sathvika,2025-04-14,16:28:10,-07:00,2025-04-14T16:28:10-07:00,0,16
style.css,214,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,60
style.css,215,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,216,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,12
style.css,217,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,25
style.css,218,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,11
style.css,219,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,220,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,14
style.css,221,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,222,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,223,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,224,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,15
style.css,225,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,20
style.css,226,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,14
